Unnamed: 0,Polygon,Overlay_sheet_ct,naId,Title_short
304,"[[56, -115], [57, -115], [57, -114], [56, -114]]",6,34511527,56N115W
305,"[[56, -63], [57, -63], [57, -62], [56, -62]]",6,34511310,56N063W
306,"[[59, -117], [60, -117], [60, -116], [59, -116]]",6,34514202,59N117W
307,"[[60, -96], [61, -96], [61, -95], [60, -95]]",6,34515684,60N096W
308,"[[60, -111], [61, -111], [61, -110], [60, -110]]",6,34515712,60N111W
309,"[[60, -117], [61, -117], [61, -116], [60, -116]]",6,34515765,60N117W
310,"[[60, -118], [61, -118], [61, -117], [60, -117]]",6,34515772,60N118W
311,"[[60, -120], [61, -120], [61, -119], [60, -119]]",6,34515785,60N120W
312,"[[60, -70], [61, -70], [61, -69], [60, -69]]",6,34515630,60N070W
313,"[[60, -71], [61, -71], [61, -70], [60, -70]]",6,34515637,60N071W
314,"[[60, -72], [61, -72], [61, -71], [60, -71]]",6,34515644,60N072W
315,"[[59, -144], [60, -144], [60, -143], [59, -143]]",6,34514692,59N144W
316,"[[59, -142], [60, -142], [60, -141], [59, -141]]",6,34514677,59N142W
317,"[[59, -119], [60, -119], [60, -118], [59, -118]]",6,34514214,59N119W
318,"[[59, -98], [60, -98], [60, -97], [59, -97]]",6,34514134,59N098W
319,"[[59, -74], [60, -74], [60, -73], [59, -73]]",6,34514097,59N074W
320,"[[58, -111], [59, -111], [59, -110], [58, -110]]",6,34513156,58N111W
321,"[[58, -113], [59, -113], [59, -112], [58, -112]]",6,34513169,58N113W
322,"[[58, -116], [59, -116], [59, -115], [58, -115]]",6,34513186,58N116W
323,"[[58, -69], [59, -69], [59, -68], [58, -68]]",6,34513041,58N069W
324,"[[58, -96], [59, -96], [59, -95], [58, -95]]",6,34513099,58N096W
325,"[[58, -98], [59, -98], [59, -97], [58, -97]]",6,34513114,58N098W
326,"[[58, -99], [59, -99], [59, -98], [58, -98]]",6,34513121,58N099W
327,"[[58, -65], [59, -65], [59, -64], [58, -64]]",6,34512983,58N065W
328,"[[57, -127], [58, -127], [58, -126], [57, -126]]",6,34512539,57N127W
329,"[[57, -117], [58, -117], [58, -116], [57, -116]]",6,34512366,57N117W
330,"[[62, -93], [63, -93], [63, -92], [62, -92]]",6,34520218,62N093W
331,"[[62, -94], [63, -94], [63, -93], [62, -93]]",6,34520225,62N094W
332,"[[61, -112], [62, -112], [62, -111], [61, -111]]",6,34517994,61N112W
333,"[[61, -114], [62, -114], [62, -113], [61, -113]]",6,34518013,61N114W
334,"[[61, -116], [62, -116], [62, -115], [61, -115]]",6,34518026,61N116W
335,"[[61, -123], [62, -123], [62, -122], [61, -122]]",6,34518080,61N123W
336,"[[61, -125], [62, -125], [62, -124], [61, -124]]",6,34518095,61N125W
337,"[[61, -126], [62, -126], [62, -125], [61, -125]]",6,34518102,61N126W
338,"[[61, -127], [62, -127], [62, -126], [61, -126]]",6,34518109,61N127W
339,"[[61, -95], [62, -95], [62, -94], [61, -94]]",6,34517970,61N095W
340,"[[61, -96], [62, -96], [62, -95], [61, -95]]",6,34517977,61N096W
341,"[[61, -64], [62, -64], [62, -63], [61, -63]]",6,34517865,61N064W
342,"[[63, -127], [64, -127], [64, -126], [63, -126]]",6,34522653,63N127W
343,"[[63, -137], [64, -137], [64, -136], [63, -136]]",6,34522699,63N137W
344,"[[63, -138], [64, -138], [64, -137], [63, -137]]",6,34522706,63N138W
345,"[[63, -140], [64, -140], [64, -139], [63, -139]]",6,34522722,63N140W
346,"[[63, -122], [64, -122], [64, -121], [63, -121]]",6,34522615,63N122W
347,"[[63, -124], [64, -124], [64, -123], [63, -123]]",6,34522630,63N124W
348,"[[63, -93], [64, -93], [64, -92], [63, -92]]",6,34522516,63N093W
349,"[[63, -98], [64, -98], [64, -97], [63, -97]]",6,34522534,63N098W
350,"[[63, -69], [64, -69], [64, -68], [63, -68]]",6,34522414,63N069W
351,"[[62, -136], [63, -136], [63, -135], [62, -135]]",6,34520416,62N136W
352,"[[62, -98], [63, -98], [63, -97], [62, -97]]",6,34520242,62N098W
353,"[[62, -114], [63, -114], [63, -113], [62, -113]]",6,34520266,62N114W
354,"[[65, -120], [66, -120], [66, -120], [65, -120]]",6,34527119,65N120-121W
355,"[[65, -128], [66, -128], [66, -128], [65, -128]]",6,34527146,65N128-129W
356,"[[65, -130], [66, -130], [66, -130], [65, -130]]",6,34527153,65N130-131W
357,"[[65, -62], [66, -62], [66, -62], [65, -62]]",6,34526992,65N062-063W
358,"[[65, -68], [66, -68], [66, -68], [65, -68]]",6,34527013,65N068-069W
359,"[[64, -121], [65, -121], [65, -120], [64, -120]]",6,34525244,64N121W
360,"[[64, -127], [65, -127], [65, -126], [64, -126]]",6,34525282,64N127W
361,"[[64, -128], [65, -128], [65, -127], [64, -127]]",6,34525289,64N128W
362,"[[64, -75], [65, -75], [65, -74], [64, -74]]",6,34525031,64N075W
